Position,Mutability,Shannon_entropy,Gap_percentage,A_percentage,T_percentage,G_percentage,C_percentage,Element
1,0.1969778737182946,0.9620763380802054,38.58607663248786,0.0,0.0,0.0,61.41392336751215,stem
2,0.1973376506565929,0.9674928184587844,38.388199316423815,0.0,61.557834142831446,0.0179888469149127,0.0359776938298255,stem
3,0.1966180967799964,0.9589993682690507,38.13635545961504,0.0,0.0,61.86364454038497,0.0,stem
4,0.1973376506565929,0.9651366975506568,38.11836661270013,0.0539665407447382,0.0,61.82766684655514,0.0,hairpin loop
5,0.1969778737182946,0.9632416692335396,38.06440007195539,0.0,0.0179888469149127,0.0179888469149127,61.89962223421479,hairpin loop
6,0.1962583198416981,0.9692618864119438,38.01043353121064,61.89962223421479,0.0179888469149127,0.0359776938298255,0.0359776938298255,hairpin loop
7,0.1933801043353121,0.96243230308222,37.66864543982731,62.27738801942796,0.0,0.0359776938298255,0.0179888469149127,hairpin loop
8,0.2354740061162079,1.3079982549892593,37.56071235833783,54.272351142291775,0.0179888469149127,0.0179888469149127,8.130958805540565,hairpin loop
9,0.1996762007555315,1.01951909899701,37.50674581759309,0.4317323259579061,0.3058103975535168,0.0,61.75571145889549,stem
10,0.2025544162619176,1.0014229333086195,38.19032200035978,61.32397913293758,0.0179888469149127,0.4677100197877316,0.0,stem
11,0.2056125202374527,1.04512804701421,38.13635545961504,1.0433531210649396,0.0899442345745637,60.73034718474546,0.0,stem
12,0.197517539125742,0.974977774159417,37.27289080769923,62.49325418240691,0.0,0.2338550098938658,0.0,multiloop
13,0.1797085806799784,0.9585000182257004,35.941716135995684,63.8963842417701,0.0,0.1618996222342147,0.0,multiloop
14,0.1728728188523115,0.9647591919449612,36.76920309408167,63.08688613059903,0.0,0.0359776938298255,0.1079330814894765,multiloop
15,0.1793488037416801,0.956199994350099,36.37344846195359,63.53660730347185,0.0179888469149127,0.071955387659651,0.0,multiloop
16,0.0003597769382982,0.0024974230864822,0.0,99.98201115308508,0.0179888469149127,0.0,0.0,stem
17,0.0003597769382982,0.0024974230864822,0.0,0.0,99.98201115308508,0.0179888469149127,0.0,stem
18,0.0,0.0,0.0,0.0,0.0,100.0,0.0,stem
19,0.0086346465191581,0.044319574465107,0.0,0.4856988667026443,0.0,99.51430113329737,0.0,hairpin loop
20,0.0100737542723511,0.0659544086273916,0.0,0.6116207951070336,0.1079330814894765,0.0,99.2804461234035,hairpin loop
21,0.0244648318042813,0.1032334659894314,0.0,1.2052527432991549,0.0539665407447382,98.7227918690412,0.0179888469149127,hairpin loop
22,0.3806440007195539,1.034631901914441,0.5756431012772081,43.640942615578346,0.0,55.78341428314445,0.0,hairpin loop
23,0.0017988846914912,0.0110475406570619,0.0179888469149127,99.91005576542544,0.0,0.071955387659651,0.0,hairpin loop
24,0.0046771001978773,0.02722460852865,0.0899442345745637,0.0359776938298255,0.1079330814894765,0.0,99.76614499010611,hairpin loop
25,0.0039575463212808,0.0224949011960292,0.071955387659651,99.80212268393596,0.0,0.1259219284043893,0.0,hairpin loop
26,0.0032379924446842,0.0189475778894101,0.071955387659651,99.83810037776578,0.0,0.0899442345745637,0.0,hairpin loop
27,0.3209210289620435,0.973056810401783,0.0,0.0,40.36697247706422,0.0,59.63302752293578,stem
28,0.0,0.0,0.0,100.0,0.0,0.0,0.0,stem
29,0.002878215506386,0.0156607535347963,0.0,0.0,99.8560892246807,0.0,0.143910775319302,stem
30,0.0215866162978953,0.0963916775493391,0.0,1.0793308148947651,0.0899442345745637,98.83072495053068,0.0,multiloop
31,0.0003597769382982,0.0024974230864822,0.0,99.98201115308508,0.0,0.0,0.0179888469149127,multiloop
32,0.0021586616297895,0.0139459052861252,0.0,0.0,0.1259219284043893,0.0,99.8740780715956,multiloop
33,0.0034178809138334,0.020295028436472,0.0,0.0359776938298255,0.143910775319302,0.0,99.82011153085088,stem
34,0.0,0.0,0.0,100.0,0.0,0.0,0.0,stem
35,0.0003597769382982,0.0024974230864822,0.0,0.0,0.0179888469149127,0.0,99.98201115308508,stem
36,0.0125921928404389,0.0595728418145655,0.0,99.35240151106314,0.0359776938298255,0.5936319481921208,0.0179888469149127,stem
37,0.004317323259579,0.0238091919326668,0.0,99.76614499010611,0.0,0.2338550098938658,0.0,stem
38,0.002878215506386,0.0170342869083166,0.0,0.0899442345745637,0.0539665407447382,0.0,99.8560892246807,stem
39,0.0,0.0,0.0,100.0,0.0,0.0,0.0,stem
40,0.0,0.0,0.0,0.0,0.0,0.0,100.0,stem
