Position,Segment,Segment_position,Mutability,Shannon_entropy,Gap_percentage,A_percentage,T_percentage,G_percentage,C_percentage
1,1,1,0.020253164556962026,0.0909059648383568,0.0,98.84493670886076,0.0,0.0,1.1550632911392407
2,1,2,0.010443037974683544,0.05066408800739998,0.0,0.0,99.43037974683544,0.0,0.569620253164557
3,1,3,0.020253164556962026,0.0909059648383568,0.0,1.1550632911392407,0.0,98.84493670886076,0.0
4,1,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0
5,1,5,0.00031645569620253165,0.002225995212130881,0.0,99.98417721518987,0.0,0.015822784810126583,0.0
6,1,6,0.03132911392405063,0.14943238212757323,0.0,1.1708860759493671,98.16455696202532,0.0,0.6645569620253164
7,1,7,0.02088607594936709,0.09414338058506427,0.0,98.8132911392405,1.1708860759493671,0.015822784810126583,0.0
8,1,8,0.00031645569620253165,0.002225995212130881,0.0,0.0,99.98417721518987,0.0,0.015822784810126583
9,1,9,0.020569620253164556,0.09312930777795542,0.0,98.82911392405063,0.0,1.1550632911392407,0.015822784810126583
10,1,10,0.0,0.0,0.0,100.0,0.0,0.0,0.0
11,1,11,0.0,0.0,0.0,100.0,0.0,0.0,0.0
12,1,12,0.0012658227848101266,0.007637941290215825,0.0,0.0,99.9367088607595,0.0,0.06329113924050633
13,1,13,0.020253164556962026,0.0909059648383568,0.0,0.0,1.1550632911392407,0.0,98.84493670886076
14,1,14,0.020569620253164556,0.09312930777795542,0.0,0.015822784810126583,0.0,1.1550632911392407,98.82911392405063
15,1,15,0.28512658227848103,0.9712313580373197,0.0,0.03164556962025317,60.56962025316456,39.39873417721519,0.0
16,1,16,0.0,0.0,0.0,0.0,100.0,0.0,0.0
17,1,17,0.0009493670886075949,0.00592552163793164,0.0,99.95253164556962,0.0,0.04746835443037974,0.0
18,1,18,0.044145569620253164,0.19647814087193302,1.1550632911392407,0.0,97.45253164556962,0.0,1.3924050632911391
19,1,19,0.02088607594936709,0.09503615847403596,1.1550632911392407,0.0,98.8132911392405,0.0,0.03164556962025317
20,1,20,0.020253164556962026,0.0909059648383568,1.1550632911392407,0.0,98.84493670886076,0.0,0.0
21,1,21,0.06867088607594937,0.3075242303931708,1.1550632911392407,0.0,95.37974683544303,0.0,3.4651898734177213
22,1,22,0.02088607594936709,0.09535261417023849,1.1550632911392407,0.015822784810126583,0.015822784810126583,0.0,98.8132911392405
23,1,23,0.020253164556962026,0.0909059648383568,1.1550632911392407,0.0,98.84493670886076,0.0,0.0
24,1,24,0.17009493670886075,0.7964254060407169,1.1550632911392407,18.60759493670886,0.12658227848101267,0.015822784810126583,80.09493670886076
